Date,gross_return,net_return,turnover,tcost
2014-05-21,0.005983014441623998,0.005983014441623998,0.0,0.0
2014-05-22,0.008028318316989108,0.008028318316989108,0.0,0.0
2014-05-23,0.011313595371613208,0.011313595371613208,0.0,0.0
2014-05-27,0.011080141051365082,0.011080141051365082,0.0,0.0
2014-05-28,-0.003484668001126205,-0.003484668001126205,0.0,0.0
2014-05-29,0.0017451429164396703,0.0017451429164396703,0.0,0.0
2014-05-30,-0.003906551838859154,-0.003906551838859154,0.0,0.0
2014-06-02,-0.004244639959151999,-0.0043979700669004845,0.15333010774848582,0.00015333010774848583
2014-06-03,-0.0010054639252116157,-0.0010054639252116157,0.0,0.0
2014-06-04,0.008525632337265786,0.008525632337265786,0.0,0.0
2014-06-05,0.015793750881368394,0.015793750881368394,0.0,0.0
2014-06-06,0.00835551399331145,0.00835551399331145,0.0,0.0
2014-06-09,0.010221484355033734,0.010221484355033734,0.0,0.0
2014-06-10,-0.0017665301268080156,-0.0017665301268080156,0.0,0.0
2014-06-11,-0.005883612925040009,-0.005883612925040009,0.0,0.0
2014-06-12,-0.007102465592787502,-0.007102465592787502,0.0,0.0
2014-06-13,0.000552320363702019,0.000552320363702019,0.0,0.0
2014-06-16,0.004788587584190813,0.004788587584190813,0.0,0.0
2014-06-17,0.007448958282490553,0.007448958282490553,0.0,0.0
2014-06-18,0.0028477705140352995,0.0028477705140352995,0.0,0.0
2014-06-19,0.0012405255364621496,0.0012405255364621496,0.0,0.0
2014-06-20,0.0014910129360328035,0.0014910129360328035,0.0,0.0
2014-06-23,0.0006304238773944627,0.0006304238773944627,0.0,0.0
2014-06-24,-0.007044105150674677,-0.007044105150674677,0.0,0.0
2014-06-25,0.004577509859732464,0.004577509859732464,0.0,0.0
2014-06-26,-0.0011992180082660015,-0.0011992180082660015,0.0,0.0
2014-06-27,0.004270849202998324,0.004270849202998324,0.0,0.0
2014-06-30,0.00431845741773607,0.00431845741773607,0.0,0.0
2014-07-01,0.008390468927390564,0.008213357668272307,0.17711125911825615,0.00017711125911825615
2014-07-02,-0.0037615019273896716,-0.0037615019273896716,0.0,0.0
2014-07-03,0.007451623563717879,0.007451623563717879,0.0,0.0
2014-07-07,-0.011551741790199091,-0.011551741790199091,0.0,0.0
2014-07-08,-0.013172046193621192,-0.013172046193621192,0.0,0.0
2014-07-09,-0.0017519792724307135,-0.0017519792724307135,0.0,0.0
2014-07-10,-0.008628264849163491,-0.008628264849163491,0.0,0.0
2014-07-11,0.0010465293981752313,0.0010465293981752313,0.0,0.0
2014-07-14,0.0021922218418040837,0.0021922218418040837,0.0,0.0
2014-07-15,-0.006816215218165522,-0.006816215218165522,0.0,0.0
2014-07-16,-0.0011963303679552065,-0.0011963303679552065,0.0,0.0
2014-07-17,-0.01063914351208285,-0.01063914351208285,0.0,0.0
